student_id,age,gender,year_of_study,field_of_study,stress_level,anxiety_score,sleep_hours,sleep_quality,mood_rating,daily_screen_time_hrs,screen_time_before_sleep,daily_social_media_hours,platform_usage,physical_activity,social_interaction_level,study_hours_per_day,class_attendance_pct,exam_score,GPA,academic_performance
115,21,Male,3,Science,5,5,7.5,4.0,,5.9,1.7,4.3,TikTok,3.9,6.8,3.5,94.9,69.3,2.78,70.4
116,22,Male,1,Engineering,3,5,7.3,4.0,7.0,1.6,0.6,2.0,TikTok,3.4,7.8,4.2,83.9,78.5,3.54,80.2
117,21,Male,2,Engineering,6,6,5.1,2.0,4.0,3.4,,2.5,Both,2.9,6.5,3.0,74.1,54.3,2.54,60.5
118,19,Male,1,Science,5,5,8.1,4.0,6.0,3.0,1.0,3.3,Both,5.0,6.5,3.2,85.1,62.6,2.99,71.8
119,23,Female,2,Computer Science,6,7,8.3,4.0,7.0,5.4,2.4,2.4,TikTok,2.2,6.5,,80.8,52.3,2.32,54.3
120,22,Other,4,Business,7,9,7.0,3.0,6.0,6.4,3.8,4.4,Instagram,4.0,6.4,3.3,68.5,63.6,2.92,71.5
121,22,Male,2,Science,7,6,5.6,2.0,5.0,3.5,1.4,,Both,4.0,7.6,0.1,76.8,46.2,1.86,48.8
122,19,Male,1,Arts,4,3,6.2,3.0,6.0,3.9,0.7,2.7,TikTok,3.6,7.3,2.3,87.9,66.0,,57.0
123,23,Male,1,Engineering,4,2,7.0,2.0,7.0,2.3,,2.2,TikTok,4.4,7.6,0.6,81.1,57.8,2.79,69.8
124,19,Other,2,Engineering,4,4,5.5,2.0,6.0,3.8,1.3,2.6,TikTok,3.7,6.4,4.8,75.3,67.7,2.93,68.0
125,22,Male,1,Computer Science,3,4,8.6,5.0,7.0,6.1,2.7,1.9,Instagram,2.7,6.6,4.4,88.6,80.8,4.0,92.9
126,25,Female,1,Arts,5,5,7.1,2.0,5.0,3.1,,4.3,TikTok,3.3,6.3,2.5,87.7,67.2,2.46,62.0
127,19,Male,3,Computer Science,7,9,3.0,,2.0,,0.0,2.2,Both,1.2,4.4,3.2,59.8,50.9,1.93,43.5
128,20,Male,2,Engineering,5,5,6.7,3.0,6.0,3.4,1.5,3.5,TikTok,4.5,7.6,3.5,98.0,73.6,3.04,76.1
129,21,Other,1,Computer Science,7,7,6.3,3.0,4.0,4.9,1.9,2.4,Both,4.6,4.6,2.5,69.3,56.6,2.61,68.1
130,20,Other,4,Arts,5,5,5.7,2.0,4.0,3.3,0.4,3.5,TikTok,2.4,6.7,3.3,74.8,65.6,2.71,66.6
131,18,Male,1,Business,6,5,6.0,3.0,4.0,3.7,1.8,,Instagram,1.9,6.2,2.1,83.9,60.4,2.11,51.0
132,21,Other,4,Arts,8,8,6.8,2.0,5.0,5.3,,3.2,Both,2.2,5.5,1.1,80.7,53.2,1.65,
133,19,Female,2,Computer Science,5,5,7.5,3.0,7.0,1.1,1.7,1.8,Instagram,3.0,6.8,4.4,88.8,,2.81,72.6
134,22,Female,4,Business,5,5,6.3,2.0,5.0,4.5,1.1,2.4,Instagram,3.6,6.9,3.0,76.5,81.5,2.24,71.2
135,19,Male,3,Business,5,5,5.6,1.0,6.0,5.3,1.8,1.8,TikTok,6.1,5.6,1.0,78.7,,2.93,67.0
136,24,Female,4,Other,5,4,6.1,3.0,5.0,3.3,1.3,3.5,TikTok,5.5,8.3,3.5,76.8,57.6,2.54,54.6
137,20,Female,4,Computer Science,5,4,5.8,2.0,5.0,1.9,,3.6,Both,4.8,6.5,,79.0,,2.57,62.8
138,20,Female,1,Business,5,5,5.7,3.0,4.0,2.4,0.0,1.9,Instagram,3.6,9.3,4.6,82.1,72.0,3.08,75.4
139,22,Male,4,Arts,5,5,6.6,2.0,6.0,4.1,2.6,2.3,Both,2.3,7.0,3.5,74.8,63.8,2.72,65.1
140,19,Male,2,Science,6,6,6.7,3.0,6.0,3.8,2.1,2.1,Instagram,5.5,7.0,1.6,70.5,59.4,2.27,54.3
141,21,Male,2,Engineering,6,6,8.1,4.0,6.0,4.6,1.8,3.7,TikTok,2.9,5.1,1.1,89.9,61.7,2.31,65.8
142,23,Female,2,Business,5,6,7.9,3.0,7.0,4.2,0.8,3.6,Both,4.0,6.1,4.6,84.0,74.8,2.97,72.9
143,18,Male,2,Computer Science,8,9,5.4,2.0,3.0,4.1,,4.5,Both,4.1,6.2,1.7,78.0,,,56.4
144,21,Female,1,Computer Science,4,5,7.6,4.0,7.0,6.2,0.6,,Instagram,3.5,8.0,2.4,83.9,79.7,2.89,73.9
145,21,Other,2,Science,7,8,5.4,2.0,6.0,4.9,1.0,3.5,Instagram,5.0,7.9,1.3,79.5,36.9,1.81,43.9
146,22,Male,2,Business,6,6,7.2,4.0,5.0,,0.0,4.1,TikTok,4.1,6.7,4.2,96.7,62.4,3.19,72.1
147,19,Female,3,Engineering,5,5,,3.0,4.0,3.9,0.6,2.9,Both,4.9,8.7,3.2,72.9,74.0,2.7,70.5
148,19,Male,4,Other,7,9,4.6,1.0,3.0,4.1,1.5,3.9,Both,4.0,3.7,3.2,68.3,64.9,2.17,56.1
149,22,Female,2,Other,5,6,6.8,3.0,6.0,4.7,1.7,2.0,Both,,7.0,3.4,76.3,73.0,2.69,71.7
150,22,Male,2,Arts,10,9,3.5,1.0,3.0,4.9,2.2,2.7,TikTok,3.0,7.7,0.1,77.2,32.5,1.61,41.6
151,21,Female,1,Computer Science,5,3,4.7,2.0,6.0,5.2,1.5,1.2,TikTok,3.7,7.3,4.5,77.3,70.6,,69.4
152,22,Female,1,Arts,6,6,6.5,3.0,6.0,4.4,2.3,2.7,TikTok,1.7,4.2,2.2,83.2,,2.4,59.1
153,20,Other,1,Business,8,9,6.7,1.0,5.0,4.5,2.3,3.3,Instagram,1.8,7.4,3.0,56.5,58.6,2.11,65.8
154,21,Female,2,Engineering,8,9,6.0,2.0,4.0,5.6,1.8,5.2,Both,4.3,6.8,3.0,77.1,67.5,2.5,61.2
155,21,Female,1,Business,8,7,4.9,2.0,4.0,,1.6,2.9,Both,1.6,6.2,1.7,67.1,43.0,1.86,43.0
156,20,Female,4,Arts,8,9,4.9,2.0,3.0,2.1,0.6,3.9,Both,3.0,6.0,0.7,80.0,43.9,2.23,55.3
157,24,Female,2,Arts,4,5,7.1,4.0,6.0,3.8,2.1,2.8,TikTok,1.8,8.2,2.6,,75.9,2.67,75.8
158,22,Female,2,Science,6,7,7.1,1.0,7.0,6.1,2.8,2.7,Both,2.8,6.7,,77.3,69.8,3.18,66.6
159,19,Male,2,Other,6,7,6.2,1.0,6.0,7.5,2.1,2.4,Both,2.8,5.9,3.3,88.2,70.9,2.61,70.4
160,22,Other,1,Engineering,5,5,8.0,4.0,6.0,4.8,3.3,2.9,TikTok,2.5,5.0,4.7,94.7,84.6,2.79,75.7
161,19,Female,2,Business,4,3,6.7,4.0,6.0,3.7,0.5,3.7,TikTok,1.2,6.4,4.3,91.3,,3.85,86.1
162,22,Female,3,Arts,4,5,5.4,3.0,7.0,2.9,0.2,2.1,Both,3.5,,2.0,85.9,55.4,2.08,57.7
163,23,Male,2,Arts,7,8,6.3,2.0,5.0,5.8,2.1,3.9,Both,2.1,5.7,3.9,73.4,59.5,,52.5
164,20,Female,2,Arts,6,6,4.8,1.0,4.0,4.6,1.4,2.9,TikTok,2.6,5.3,1.1,,42.8,1.42,37.0
165,23,Male,4,Science,5,8,5.9,3.0,7.0,5.9,2.1,2.1,TikTok,4.9,8.4,3.7,78.7,55.8,3.58,73.2
166,22,Female,4,Engineering,7,6,7.2,3.0,5.0,4.4,1.6,5.2,Both,4.8,5.0,5.3,81.6,82.8,3.59,85.4
167,22,Male,3,Arts,4,4,7.0,4.0,6.0,2.1,0.5,2.3,Instagram,1.8,8.3,3.8,79.0,60.6,2.93,68.8
168,24,Female,2,Business,7,6,8.2,4.0,5.0,3.3,1.5,4.4,Both,5.4,5.5,0.8,81.8,67.2,2.45,68.5
169,21,Other,3,Engineering,4,4,5.8,2.0,4.0,2.7,0.0,1.6,Instagram,3.1,4.9,2.8,95.4,65.1,2.74,68.4
170,20,Male,1,Arts,7,5,8.1,3.0,7.0,4.1,1.1,4.5,Both,2.0,4.1,5.0,81.3,72.8,2.4,
171,19,Other,2,Business,7,8,,,4.0,,1.8,3.4,Instagram,2.4,4.5,2.1,72.1,43.8,2.59,57.2
172,20,Male,1,Arts,5,6,8.2,4.0,7.0,7.0,2.2,,TikTok,3.3,5.8,4.7,77.9,81.7,3.51,87.8
173,21,Female,2,Computer Science,3,3,6.4,2.0,7.0,5.5,2.0,1.0,Instagram,6.0,6.7,2.5,87.1,68.4,,68.1
174,22,Female,2,Engineering,6,6,7.3,3.0,5.0,0.2,0.0,2.3,Both,1.4,7.1,2.6,83.7,64.3,2.55,61.7
175,21,Female,1,Engineering,7,8,8.3,3.0,5.0,3.9,1.5,4.6,Both,0.2,6.1,,78.8,55.7,2.34,58.8
176,22,Female,4,Computer Science,4,4,5.8,3.0,5.0,1.4,0.1,2.5,Both,4.3,6.3,5.3,,84.5,3.11,73.4
177,21,Female,4,Business,8,9,6.1,1.0,,,2.9,4.4,Instagram,4.0,9.8,1.8,77.5,45.6,1.94,52.5
178,23,Male,3,Arts,1,1,7.7,4.0,9.0,0.9,0.8,1.0,Instagram,3.6,6.4,2.4,95.2,,3.1,83.6
179,21,Male,2,Computer Science,3,3,,4.0,7.0,3.3,0.3,1.6,Instagram,4.4,6.6,6.1,90.5,92.5,3.32,90.3
180,26,Female,4,Computer Science,6,7,4.8,1.0,5.0,3.9,,3.1,Instagram,2.1,4.3,2.7,78.8,70.3,2.57,71.3
181,22,Female,1,Other,4,5,9.1,5.0,8.0,4.5,1.1,3.7,Both,1.8,5.5,4.4,87.1,88.4,3.2,83.5
182,20,Female,3,Business,8,8,5.6,1.0,4.0,5.2,2.3,3.9,TikTok,3.8,6.5,0.2,72.3,42.5,1.57,38.0
183,19,Female,1,Business,2,2,6.7,3.0,10.0,5.2,0.5,2.1,Both,5.9,5.6,3.9,90.5,81.2,3.3,77.5
184,22,Male,3,Science,13,3,7.5,4.0,7.0,3.5,0.0,2.9,TikTok,,5.9,3.8,92.3,81.8,3.13,83.4
185,21,Female,1,Engineering,5,5,6.0,2.0,6.0,0.5,0.0,2.0,Instagram,4.4,,1.7,88.4,65.9,2.39,59.9
186,22,Male,4,Business,7,8,4.9,1.0,3.0,6.1,2.0,3.0,Instagram,1.6,5.1,2.9,69.4,51.8,2.38,54.7
187,22,Female,4,Science,3,3,6.3,2.0,6.0,3.3,0.6,0.1,None,4.3,6.2,1.9,84.8,73.9,2.64,70.4
188,21,Male,1,Computer Science,9,8,4.7,1.0,1.0,4.6,0.5,3.6,Instagram,1.4,6.5,0.3,61.4,29.9,1.3,31.2
189,20,Male,2,Business,7,7,6.0,1.0,4.0,4.8,2.6,3.4,Both,5.8,5.2,3.6,68.6,66.3,2.25,61.7
190,18,Male,4,Business,7,7,5.9,1.0,4.0,3.0,1.7,1.7,Instagram,2.4,4.9,,66.7,57.5,2.14,48.9
191,20,Male,2,Science,5,4,6.0,2.0,5.0,2.7,1.5,1.3,Instagram,2.3,6.5,2.4,72.5,57.7,2.81,63.8
